line,gender
The Florentines and Senoys are by th’ ears;,male
"Have fought with equal fortune, and continue",male
A braving war.,male
"Nay, ’tis most credible, we here receive it,",male
"A certainty, vouch’d from our cousin Austria,",male
"With caution, that the Florentine will move us",male
For speedy aid; wherein our dearest friend,male
"Prejudicates the business, and would seem",male
To have us make denial.,male
"He hath arm’d our answer,",male
And Florence is denied before he comes:,male
"Yet, for our gentlemen that mean to see",male
"The Tuscan service, freely have they leave",male
To stand on either part.,male
What’s he comes here?,male
"Enter Bertram, Lafew and Parolles.",male
"Youth, thou bear’st thy father’s face;",male
"Frank nature, rather curious than in haste,",male
Hath well compos’d thee. Thy father’s moral parts,male
Mayst thou inherit too! Welcome to Paris.,male
"I would I had that corporal soundness now,",male
As when thy father and myself in friendship,male
First tried our soldiership. He did look far,male
"Into the service of the time, and was",male
"Discipled of the bravest. He lasted long,",male
"But on us both did haggish age steal on,",male
And wore us out of act. It much repairs me,male
To talk of your good father; in his youth,male
He had the wit which I can well observe,male
Today in our young lords; but they may jest,male
Till their own scorn return to them unnoted,male
Ere they can hide their levity in honour,male
"So like a courtier, contempt nor bitterness",male
"Were in his pride or sharpness; if they were,",male
"His equal had awak’d them, and his honour,",male
"Clock to itself, knew the true minute when",male
"Exception bid him speak, and at this time",male
His tongue obey’d his hand. Who were below him,male
"He us’d as creatures of another place,",male
"And bow’d his eminent top to their low ranks,",male
"Making them proud of his humility,",male
In their poor praise he humbled. Such a man,male
Might be a copy to these younger times;,male
"Which, followed well, would demonstrate them now",male
But goers backward.,male
"Would I were with him! He would always say,—",male
Methinks I hear him now; his plausive words,male
"He scatter’d not in ears, but grafted them",male
"To grow there and to bear,—“Let me not live,”",male
This his good melancholy oft began,male
"On the catastrophe and heel of pastime,",male
"When it was out,—“Let me not live” quoth he,",male
"“After my flame lacks oil, to be the snuff",male
"Of younger spirits, whose apprehensive senses",male
All but new things disdain; whose judgments are,male
Mere fathers of their garments; whose constancies,male
Expire before their fashions.” This he wish’d.,male
"I, after him, do after him wish too,",male
"Since I nor wax nor honey can bring home,",male
I quickly were dissolved from my hive,male
To give some labourers room.,male
"I fill a place, I know’t. How long is’t, Count,",male
Since the physician at your father’s died?,male
He was much fam’d.,male
"If he were living, I would try him yet;—",male
Lend me an arm;—the rest have worn me out,male
With several applications; nature and sickness,male
"Debate it at their leisure. Welcome, Count;",male
My son’s no dearer.,male
"Farewell, young lords; these warlike principles",male
"Do not throw from you; and you, my lords, farewell;",male
"Share the advice betwixt you; if both gain all,",male
"The gift doth stretch itself as ’tis receiv’d,",male
And is enough for both.,male
"No, no, it cannot be; and yet my heart",male
Will not confess he owes the malady,male
"That doth my life besiege. Farewell, young lords.",male
"Whether I live or die, be you the sons",male
"Of worthy Frenchmen; let higher Italy,—",male
Those bated that inherit but the fall,male
Of the last monarchy—see that you come,male
"Not to woo honour, but to wed it, when",male
"The bravest questant shrinks: find what you seek,",male
That fame may cry you loud. I say farewell.,male
"Those girls of Italy, take heed of them;",male
They say our French lack language to deny,male
If they demand; beware of being captives,male
Before you serve.,male
Farewell.—Come hither to me.,male
,male
I’ll fee thee to stand up.,male
"I would I had; so I had broke thy pate,",male
And ask’d thee mercy for’t.,male
No.,male
What ‘her’ is this?,male
"Now, good Lafew,",male
Bring in the admiration; that we with thee,male
"May spend our wonder too, or take off thine",male
By wond’ring how thou took’st it.,male
Thus he his special nothing ever prologues.,male
Enter Lafew with Helena.,male
This haste hath wings indeed.,male
"Now, fair one, does your business follow us?",male
I knew him.,male
"We thank you, maiden,",male
"But may not be so credulous of cure,",male
"When our most learned doctors leave us, and",male
The congregated college have concluded,male
That labouring art can never ransom nature,male
From her inaidable estate. I say we must not,male
"So stain our judgment, or corrupt our hope,",male
To prostitute our past-cure malady,male
"To empirics, or to dissever so",male
"Our great self and our credit, to esteem",male
"A senseless help, when help past sense we deem.",male
"I cannot give thee less, to be call’d grateful.",male
Thou thought’st to help me; and such thanks I give,male
As one near death to those that wish him live.,male
"But what at full I know, thou know’st no part;",male
"I knowing all my peril, thou no art.",male
"I must not hear thee. Fare thee well, kind maid.",male
"Thy pains, not us’d, must by thyself be paid;",male
"Proffers, not took, reap thanks for their reward.",male
Art thou so confident? Within what space,male
Hop’st thou my cure?,male
Upon thy certainty and confidence,male
What dar’st thou venture?,male
Methinks in thee some blessed spirit doth speak,male
His powerful sound within an organ weak;,male
And what impossibility would slay,male
"In common sense, sense saves another way.",male
