game_id,moves,num_moves
1,d4 e5 dxe5 d6 exd6 Bxd6 Nf3 Nc6 Nc3 Bg4 Bg5 f6 Bh4 Qe7 Bg3 O-O-O Bxd6 Rxd6 Qc1 Bf5 e3 Nb4 Be2 Nxc2+ Kf1 Nxa1 Qxa1 Nh6 Nd4 Rhd8 Ncb5 a6 Nxd6+ Qxd6 b3 Qb4 g3 Bh3+ Kg1 Qd2 Bf1 Bxf1 Qxf1 Nf7 Kg2 Ne5 Qd1 Qxd1 Rxd1 c5 Rc1 b6 b4 c4 f4 Ng4 Rxc4+ Kb7 Kf3 h5 h3 Nh6 a4 Nf7 b5 Nd6 Rc6 axb5 axb5 Nxb5 Re6 Nxd4+ exd4 Rxd4 Re7+ Kc6 Rxg7 Rd3+ Kf2 Rd6 Kf3 b5 Rh7 b4 Rxh5 b3 Rh8 b2 Rb8 Rd2 Kg4 Rc2 h4 Kc7 h5 Kxb8 h6 Rc8 Kf5 b1=Q+ Kxf6 Qb7,102
2,e4 c5 Nf3 Qc7 d4 Nc6 Nc3 cxd4 Nxd4 e5 Ndb5 Qd8 Be3 a6 Nd6+ Bxd6 Qxd6 Nf6 Bc5 Qe7 Bc4 Qxd6 Bxd6 b5 Bb3 Nd4 Nd5 Bb7 Nc7+ Kd8 Nxa8 Bxa8 Bxf7 Nxe4 Bxe5 Nxc2+ Ke2 Nxa1 Rxa1 Rf8 f3 Nf6 Bb3 Re8 f4 d6 Rd1 Ne4 Kf1 Kc7 Bxg7 Re7 Bd4 Rf7 g3 Re7 Kg1 h5 Rc1+ Kd7 Rd1 h4 Bc2 hxg3 hxg3 Nxg3 Kf2 Ne4+ Ke1 Ng3+ Kf2 Ne4+ Kg1 Ng3 Be5 Ne2+ Kf2 Rxe5 fxe5 Nf4 Rxd6+ Ke7,82
3,e4 e5 Nf3 Nc6 d4 exd4 Bc4 Be7 O-O d6 c3 dxc3 Nxc3 Bf6 e5 Nxe5 Nxe5 dxe5 Bxf7+ Kxf7 Qxd8 g6 Qxc7+ Ne7 Bh6 b6 f4 Bf5 fxe5 Bxe5 Qxe5 Rhg8 Rae1 Rae8 Bg5 Nc8 Qf6#,37
4,e4 c5 Nf3 Nc6 d4 d6 dxc5 dxc5 Qxd8+ Nxd8 Bb5+ Bd7 Bxd7+ Kxd7 Be3 e6 Ne5+ Kd6 Nxf7+ Nxf7 O-O Rc8 Nd2 Kc7 Nb3 b6 c4 Kb8 Rfd1 Ne5 Bf4 b5 Bxe5+ Ka8 cxb5 Nf6 Bxf6 gxf6 Na5 f5 e5 Bg7 f4 Rcd8 Nc6 Rxd1+ Rxd1 Rc8 Rd7 Bh6 Rxa7#,51
5,e4 e5 Bb5 Nf6 c4 Nxe4 Qf3 Nd6 Ba4 Nxc4 Qf5 Bc5 Bxd7+ Bxd7 Qe4 Nb6 Qxe5+ Be7 Qxg7 Rf8 Qxh7 Nc6 Qe4 Bg4 Qxg4 f5 Qh5+ Rf7 Qh8+ Rf8 Qg7 Qd7 Qg5 Bxg5 f4 Bxf4 g3 Be5 Nf3 Bf6 g4 O-O-O h4 fxg4 Ng1 Rh8 Rh2 Qd6 Rf2 Bxh4 Nh3 Bxf2+ Kxf2 Rxh3 Kg2 Rh4 Nc3 g3 d4 Nxd4 Ne4 Qd5 Kxg3 Rxe4 Rb1 Nc6 Kf3 Qd3+ Kf2 Re2+ Kf1 Qd1#,72
6,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 d6 d3 d5 exd5 Bf5 O-O e4 dxe4 Bxe4 Nbd2 Qh4 Nxh4 Bf3 Ndxf3 Bxf2+ Rxf2 Ne5 Nxe5 c6 Bf4 cxd5 Qxd5 Ne7 Qd7+ Kf8 Nhg6+ Kg8 Nxe7+ Kf8 N5g6+ fxg6 Bh6#,39
7,e4 e5 Nf3 Nc6 Bc4 Bc5 O-O Nf6 Nc3 O-O d3 h6 h3 a6 Nd5 Nxd5 Bxd5 d6 Bxc6 bxc6 a3 f5 exf5 Bxf5 b4 Bb6 c3 Qf6 Qb3+ Kh8 Bb2 Bxd3 Rfd1 Bf5 c4 Bxh3 gxh3 Qxf3 Qxf3 Rxf3 Rac1 Rxf2 Rb1 Rxb2+ Kf1 Rf8+ Ke1 Bf2+ Kf1 Bd4+ Ke1 Bc3+ Rd2 Bxd2+ Kd1 Rf1+ Ke2 Rfxb1 Kd3 Bf4 Kc3 Rb3+ Kc2 R1b2+ Kd1 Rxa3 Ke1 Ra1#,68
8,e4 d6 Nf3 g6 h3 Bg7 d4 a6 Bc4 b5 Bb3 Nf6 a4 O-O Nbd2 Bb7 axb5 axb5 Rxa8 Bxa8 Qe2 Nbd7 O-O c5 c4 bxc4 Bxc4 cxd4 Nxd4 Ne5 f3 Qb6 Qf2 Nh5 Ne2 Qb4 b3 Rc8 Kh2 Nxc4 bxc4 Bc3 Nxc3 Qxc3 Qa7 Re8 Qd7 Kf8 Qg4 Bc6 Qg5 e5 Qh6+ Kg8 g4 Nf4 Rg1 Ne2 Nf1 Nxc1 Ng3 Qxf3 Rxc1 Bxe4 Nxe4 Qxe4 Qd2 Ra8 Re1 Qxc4 Rc1 Qf4+ Qxf4 exf4 g5 Kg7 Rc4 f3 Rf4 Ra3 Kg3 f6 gxf6+ Kf7 Kg4 h5+ Kg5 Ra5+ Kh6 Rf5 Rxf5 gxf5 Kxh5 f2 Kg5 f1=Q h4 Qg1+ Kxf5 Qg6+ Kf4 Kxf6 h5 Qxh5 Ke3 Ke5 Kd3 Qh4 Kc3 Qd4+ Kb3 Kd5 Kc2 Kc4 Kc1 Qf2 Kb1 Kb3 Ka1 Qf1#,120
9,e4 d6 Nf3 g6 Bc4 Bg7 Nc3 Nf6 d3 Bg4 Bg5 O-O h3 Bxf3 Qxf3 Nc6 Nd5 Nd4 Qd1 Nxd5 Bxd5 h6 Be3 Nc6 Bxc6 bxc6 c3 d5 exd5 cxd5 Bc5 c6 Qe2 Rb8 b3 Bxc3+ Kf1 Bxa1 d4 Qa5 Qd1 Qc3,42
10,d4 d5 c4 Nc6 Nf3 e6 a3 dxc4 e4 a5 Bxc4 Nf6 Nc3 Be7 e5 Nd5 Nxd5 exd5 Bb5 Bd7 Qb3 O-O Qxd5 Bg4 Bxc6 bxc6 Qxc6 Bxf3 Qxf3 Qxd4 O-O Qxe5 Re1 Qe4 Rxe4,35
